Seed,Size_Opt,Adj_Opt,Ori_Opt,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
1,0,1,1,0.6,1.0,0.6916666666666668,0.7083333333333333,0.8302083333333334,0.6515972222222222,0.8054595832057954,0.6921473245309243
1,0,1,1,0.6,1.0,0.6902684130305614,0.7083333333333333,0.8788690476190476,0.6105498866213152,0.837020202020202,0.6917967436909065
1,0,1,1,0.6,1.0,0.6176190476190476,0.8125,0.9288194444444444,0.6364087301587301,0.8470356289133345,0.6719917102024956
1,0,1,1,0.6,1.0,0.5643464052287581,0.7708333333333333,0.9148809523809524,0.6995946712018141,0.8782426538108357,0.6551690341672541
1,0,1,1,0.6,1.0,0.716468253968254,0.7083333333333333,0.8472222222222222,0.6138888888888889,0.8125114680093035,0.6981937708457535
1,0,1,1,0.6,1.0,0.6527777777777778,0.8333333333333333,0.9435763888888888,0.6901041666666666,0.8858757716049382,0.6819830713422007
1,0,1,1,0.6,1.0,0.7538888888888889,0.6875,0.8176388888888889,0.5723611111111112,0.7787571740128558,0.7067401588472723
1,0,1,1,0.4,1.0,0.6638360607400856,0.65,0.8432638888888888,0.67625,0.7984812774206713,0.5328788927745135
1,0,1,1,0.6,1.0,0.7141414141414142,0.8,0.8894841269841269,0.5337244897959184,0.8144125529622324,0.6976399967107968
1,0,1,1,0.6,1.0,0.6876114081996434,0.7791666666666666,0.8977976190476191,0.6626133786848073,0.8516512345679013,0.6911276174834832
1,0,1,1,0.6,1.0,0.6815656565656565,0.7583333333333333,0.9096527777777778,0.7368663194444445,0.888625651702887,0.6895905635871995
1,0,1,1,0.6,1.0,0.7588235294117647,0.8541666666666666,0.9476190476190476,0.5539115646258503,0.854006676744772,0.7078189300411523
1,0,1,1,0.6,1.0,0.7291666666666666,0.7916666666666666,0.926984126984127,0.615405328798186,0.8651581002771478,0.7011686143572621
1,0,1,1,0.6,1.0,0.6113636363636364,0.7291666666666666,0.91625,0.6687500000000001,0.850726929545923,0.6701266348349596
1,0,1,1,0.6,1.0,0.6952380952380951,0.7791666666666666,0.9191964285714286,0.5874574829931972,0.8258333333333333,0.6930379746835442
1,0,1,1,0.4,1.0,0.6470540646742019,0.7166666666666666,0.9125,0.5842361111111112,0.8426058851762315,0.530119683369314
1,0,1,1,0.6,1.0,0.7213675213675214,0.8541666666666666,0.9577380952380952,0.6120521541950115,0.8530695795306185,0.699350918381439
1,0,1,1,0.6,1.0,0.5631815044858522,0.8125,0.9330555555555555,0.703888888888889,0.8961756082521775,0.6547759542380304
1,0,1,1,0.6,1.0,0.7099149388623073,0.6875,0.8902083333333333,0.7622916666666667,0.8724955999387818,0.6966271130809409
1,0,1,1,0.4,1.0,0.6736369910282952,0.6875,0.8883333333333333,0.628125,0.8470374313637301,0.5344393342093736
1,0,1,1,0.4,1.0,0.7611111111111111,0.75,0.86875,0.5963888888888889,0.8116028039621114,0.5469061876247505
1,0,1,1,0.4,1.0,0.6858585858585858,0.7708333333333333,0.8697222222222223,0.6238888888888889,0.8120295070890309,0.5363349131121643
1,0,1,1,0.6,1.0,0.6087301587301587,0.6958333333333333,0.8729166666666668,0.7359722222222222,0.8548202989490867,0.6693331394080431
1,0,1,1,0.6,1.0,0.6530742204655248,0.675,0.878125,0.5262953514739229,0.8133746556473829,0.6820639346549374
1,0,1,1,0.6,1.0,0.7888888888888889,0.8541666666666666,0.9461805555555556,0.5944444444444446,0.8777484973940601,0.7141659681475273
1,0,1,1,0.6,1.0,0.6363617376775271,0.7375,0.8870535714285714,0.5385189909297052,0.7997938348127742,0.6774188169423256
1,0,1,1,0.6,1.0,0.7314814814814815,0.8333333333333333,0.9333333333333333,0.5761111111111111,0.8388850627486991,0.7017024426350852
1,0,1,1,0.6,1.0,0.6573213336371231,0.7791666666666667,0.9058333333333333,0.6016269841269841,0.8310776909478208,0.6832165304359066
1,0,1,1,0.4,1.0,0.6972222222222223,0.75,0.8642857142857143,0.5491454081632653,0.7944656157534945,0.5380493033226152
1,0,1,1,0.6,1.0,0.6999999999999998,0.7916666666666666,0.8958333333333334,0.6635416666666667,0.869946381981014,0.6942148760330578
1,0,1,1,0.6,1.0,0.6891414141414142,0.6458333333333333,0.8529017857142858,0.675078656462585,0.830236928525619,0.6915133982304622
1,0,1,1,0.6,1.0,0.7277777777777777,0.7916666666666666,0.8993055555555556,0.6076388888888888,0.8327623456790123,0.7008470798038341
1,0,1,1,0.6,1.0,0.7173160173160174,0.7083333333333333,0.8727430555555555,0.5734114583333334,0.812250567544128,0.6983948579256085
1,0,1,1,0.6,1.0,0.7916666666666666,0.8125,0.9159722222222222,0.6479166666666667,0.8729817110498928,0.7147335423197492
1,0,1,1,0.6,1.0,0.7031746031746032,0.7916666666666666,0.9104166666666667,0.7341269841269842,0.8908495254545038,0.6949928095175839
1,0,1,1,0.6,1.0,0.7408119658119658,0.75,0.8909722222222223,0.6287152777777778,0.8533237419546944,0.7038283906548696
1,0,1,1,0.6,1.0,0.6988636363636364,0.7999999999999999,0.8944444444444445,0.6283333333333334,0.8235634118967452,0.6939351198871649
1,0,1,1,0.6,1.0,0.7602564102564103,0.8273809523809523,0.9182291666666667,0.606796875,0.8500114166036785,0.7081301622051945
1,0,1,1,0.4,1.0,0.6447385947385947,0.8416666666666667,0.9270833333333333,0.5652777777777778,0.826353300579491,0.5297300255131704
1,0,1,1,0.4,1.0,0.7413632119514473,0.75,0.8923611111111112,0.5194444444444444,0.8147445042831947,0.5443016281062554
1,0,1,1,0.6,1.0,0.7124841088227817,0.6625,0.8576388888888888,0.6009722222222222,0.8198180299438416,0.6972439018321459
1,0,1,1,0.6,1.0,0.7000000000000001,0.8541666666666666,0.9547619047619047,0.52765589569161,0.8352656616671768,0.6942148760330579
1,0,1,1,0.4,1.0,0.5531746031746031,0.6833333333333333,0.8541666666666667,0.7150000000000001,0.838104051882461,0.5123116501286291
1,0,1,1,0.6,1.0,0.6843434343434343,0.7791666666666666,0.8901785714285714,0.7376275510204081,0.8673100907029478,0.6902992995117809
